title,author,status,buy_print_url,ebook_url
Porch Tales - Volume One,SWG,Published,https://a.co/d/01pFZ8h1?tag=6841123454-20,https://a.co/d/01pFZ8h1?tag=6841123454-20
When The Boogeyman Comes Calling,Rick West,Published,https://www.amazon.com/When-Boogeyman-Comes-Calling-Surviving/dp/B0D571R4S3,https://www.amazon.com/When-Boogeyman-Comes-Calling-Surviving-ebook/dp/B0D57GS2DW
Polk Knoll,MJ Polk,Published,https://www.amazon.com/Polk-Knoll-collection-Short-Stories/dp/B0H9FRRMT6/?tag=6841123454-20,https://www.amazon.com/Polk-Knoll-collection-Short-Stories/dp/B0H9FRRMT6/?tag=6841123454-20
The Ugly Duckling (A Novella),Hank Cotton,Published,https://www.amazon.com/Ugly-Duckling-Hank-Cotton/dp/B0GPMRL9BK/?tag=6841123454-20,https://www.amazon.com/Ugly-Duckling-Hank-Cotton/dp/B0GPMRL9BK/?tag=6841123454-20
First Light (A Novel),Rick West,Published,https://www.amazon.com/First-Light-Rick-West/dp/B0GTTWBFGN,https://www.amazon.com/First-Light-Rick-West-ebook/dp/B0GTR2NJRP
Opera Rose (Trilogy),Gray,Published,https://www.amazon.com/Opera-Rose-Other-Devotions-Becoming-ebook/dp/B0GZJV9TCN,https://www.amazon.com/Opera-Rose-Other-Devotions-Becoming-ebook/dp/B0GZJV9TCN
